run_id,code_commit,method,config_path,seed,parent_checkpoints,steps,batch_size,context,processed_targets_including_ancestry,parameters,hardware,threads,train_precision,train_seconds,validation_seconds,test_seconds,peak_ram_gb,peak_gpu_allocated_gb,validation_bpb,test_bpb,checkpoint_sha256,selected_on,notes
baseline-s17,,baseline GPT (model.py unchanged),configs/baseline.json,17,none,1200,32,256,9830400,1088256,AMD Ryzen 7 9800X3D (CPU),4,fp32,288.29,4.03,4.56,,0.0,2.071084,2.101260,373ecbab12cc5e3e6f5004dcc23f6c93d593057b0a509cef392410739fb59d32,fixed recipe (reference reproduction),matches README ~2.10 test BPB; reference Xeon: train 311s / score 5.92s; local 5x scoring budget = 22.8s
student-eqtok-s17,,student GPT: RMSNorm+RoPE+QK-Norm+SwiGLU(512)+residual-scaled init+tied emb; AdamW(0.9/0.95) wd=0.1 on 2D+ only; lr 3e-3 warmup 120 cosine->10%; EMA d=0.99,configs/student.json,17,none,1200,32,256,9830400,3050304,NVIDIA RTX 5080 (train bf16); Ryzen 7 9800X3D 4-thread (eval fp32),4,bf16,20.97,10.69 (CPU fp32 val),,,1.04,1.679617,,500d70bde3034a5c6937f403327e73f53c81ecf79c83688781d5154f2af14f65,equal-token comparison vs baseline (same processed targets & seed),GPU train 21.0s; EMA val 1.679617 vs raw 1.684590 (EMA gain 0.0050 = paired ablation); CPU val 2.65x baseline val time -> est. test ~12s < 22.8s budget; val curve still descending at 1200 steps -> longer run next
student-long-s17,,same recipe as student-eqtok-s17 but 8000-step cosine (warmup 800) + EMA d=0.999,configs/student.json,17,none,8000,32,256,65536000,3050304,NVIDIA RTX 5080 (train bf16); Ryzen 7 9800X3D 4-thread (eval fp32),4,bf16,133.11,,,,1.04,1.660498,,0f6ff9a4192a391e20ef0714f9a73a0062e3bb3537a9f2295344d09af05dddcd,validation curve (exploration run; final ckpt = step-8000 EMA),OVERFITTING FOUND: val min 1.595333 at step 4800 (39.3M tok ~10.9 ep) then rises to 1.660498 at 8000; raw 1.715278 -> EMA gain 0.0548 (EMA acts as regularizer late in training); schedules of different total steps are not pointwise comparable (step-1200 here 2.008 vs eq-tok run 1.6796 due to warmup/anneal shape); next: re-run annealed-to-4800
student-4800-s17,,same recipe; cosine annealed-to-4800 (warmup 480) + EMA d=0.998,configs/student.json,17,none,4800,32,256,39321600,3050304,NVIDIA RTX 5080 (train bf16); Ryzen 7 9800X3D 4-thread (eval fp32),4,bf16,89.37,,,,1.04,1.631128,,a517af0644ef805f556d9a58c148d4313f1a5ef87b050e27a0e0a7161bbfc7e4,validation curve (exploration run),FULL ANNEAL LOST TO INTERRUPTED RUN: best 1.609023 at step 3400 vs long-run EMA 1.595333 at equal token count (39.3M); in overfit regime a higher tail lr + longer EMA window (0.999/1000 steps) regularizes better than annealing to 3e-4; raw final 1.658213 (EMA gain 0.0271); decision: keep 8000-step schedule + add best-EMA-snapshot saving
student-8000best-s17,,same recipe as student-long-s17 + best-EMA-snapshot on val (eval-every 200); EMA d=0.999,configs/student.json,17,none,8000,32,256,65536000,3050304,NVIDIA RTX 5080 (train bf16); Ryzen 7 9800X3D 4-thread (eval fp32),4,bf16,127.79,10.39 (CPU fp32 val of best ckpt),,,1.04,1.591763 (EMA @ step 5000 = best_checkpoint.pt; final-step EMA 1.656233),,209d6be50bac7661acdb22473936c2809d8a4711f28a680bccab00919c02a040,validation checkpoint selection (best EMA snapshot; basin 4400-5600),val min 1.5918 at 5000 steps (41.0M tok ~11.3 ep); raw final 1.711448 -> EMA gain 0.0552; GPU train NOT bitwise reproducible (embedding backward atomics): same-seed rerun drifts ~3e-4 val by step 1200; CPU fp32 eval of ckpt IS exact (1.5917630774 vs 1.5917630759); train cost so far: 4 GPU runs ~7 min total
student-drop005-s17,,student recipe + dropout 0.05 (SDPA + both residual branches); 8000-step cosine; EMA d=0.999,configs/student_drop005.json,17,none,8000,32,256,65536000,3050304,NVIDIA RTX 5080 (train bf16); Ryzen 7 9800X3D 4-thread (eval fp32),4,bf16,132.8,,,,1.04,1.555909 (EMA @7000 = best_checkpoint.pt),,4452f6d3f2e593b921d58c1e4f106cc589c9ff51dfbe2cd75ad67c07b19ae61e,validation best snapshot,dropout sweep 1/3: -0.0359 vs no-drop best 1.5918@5000; valley shifted 5000->7000 as predicted (dropout delays memorization); final EMA 1.5574 raw 1.5736 -> EMA gain shrank to 0.016
student-d8-s17,,student recipe depth 8 (3.94M params); no dropout; 8000-step cosine; EMA d=0.999,configs/student_d8.json,17,none,8000,32,256,65536000,3935936,NVIDIA RTX 5080 (train bf16); Ryzen 7 9800X3D 4-thread (eval fp32),4,bf16,163.78,,,,1.30,1.579290 (EMA @4600 = best_checkpoint.pt),,fb20658eca9a3400ae592f02eebc8d37181ff30e8668bb9fea933e5689c4ea44,validation best snapshot,scale probe: only -0.0125 vs depth-6 (1.5918@5000); valley EARLIER (4600) = bigger model memorizes faster; est. CPU test ~16.5s eats budget headroom; verdict: weak gain per CPU-second - keep d6 unless dropout combo proves otherwise; raw 1.740852
student-ema9995-s17,,student recipe; EMA d=0.9995 (window 2000 = 25% of steps); no dropout,configs/student.json,17,none,8000,32,256,65536000,3050304,NVIDIA RTX 5080 (train bf16); Ryzen 7 9800X3D 4-thread (eval fp32),4,bf16,125.61,,,,1.04,1.625079 (EMA @6800 = best_checkpoint.pt),,8c3df316d2f57c31ed4d19841a4eec118c59008f5f5566bde6331258bc9c1c38,validation best snapshot,EMA window probe FAILED: window 2000 worse than 1000 (1.6251 vs 1.5918); wide window keeps averaging weights from past the valley (memorized); keep d=0.999; raw 1.713404
student-drop010-s17,,student recipe + dropout 0.10; 8000-step cosine; EMA d=0.999,configs/student_drop010.json,17,none,8000,32,256,65536000,3050304,NVIDIA RTX 5080 (train bf16); Ryzen 7 9800X3D 4-thread (eval fp32),4,bf16,139.4,,,,1.04,1.545529 (EMA @8000 = best_checkpoint.pt),,4599743ee1c941baead0c466d21821f0f476515b17f0ab8ef6e77fdbcda63c2c,validation best snapshot,dropout sweep 2/3: -0.0463 vs no-drop; valley AT schedule end (still descending) -> longer schedule candidate; raw 1.5541 EMA gain 0.009
student-drop015-s17,,student recipe + dropout 0.15; 8000-step cosine; EMA d=0.999,configs/student_drop015.json,17,none,8000,32,256,65536000,3050304,NVIDIA RTX 5080 (train bf16); Ryzen 7 9800X3D 4-thread (eval fp32),4,bf16,141.8,,,,1.04,1.544692 (EMA @8000 = best_checkpoint.pt),,ac96e10e40762fcd759fa47c91e40b8d7c937bcf6a0ffc3187e248f739408086,validation best snapshot,dropout sweep 3/3: statistically tied with 0.10 (delta 0.0008 < noise); valley at schedule end; raw 1.5504; next: 16000-step schedule + try dropout 0.2
